Id,Label,timeset,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
alaskapride1,alaskapride1,,0,0,0,0,0,0,0,0
jenniemorewine,jenniemorewine,,0,0,0,0,0,0,0,0
stevescott_itv,stevescott_itv,,0,0,0,0,0,0,0,0
giniawf,giniawf,,0,0,0,0,0,0,0,0
johnescanlon,johnescanlon,,0,0,0,0,0,0,0,0
lovewinningnow,lovewinningnow,,0,0,0,0,0,0,0,0
karishmasarkari,karishmasarkari,,0,0,0,0,0,0,0,0
helenhampton,helenhampton,,0,0,0,0,0,0,0,0
fetal_mistake,fetal_mistake,,0,0,0,0,0,0,0,0
lcaromunoz,lcaromunoz,,0,0,0,0,0,0,0,0
unmaskdeception,unmaskdeception,,0,0,0,0,0,0,0,0
mirrorceleb,mirrorceleb,,0,0,0,0,0,0,0,0
mu_ri_elle,mu_ri_elle,,0,1,1,1,1,1,0,26
tferrandino,tferrandino,,0,0,0,0,0,0,0,0
scotlandpage,scotlandpage,,0,0,0,0,0,0,0,0
nickferrarilbc,nickferrarilbc,,0,0,0,0,0,0,0,0
scatpep54,scatpep54,,0,0,0,0,0,0,0,0
oboigbei,oboigbei,,0,3,3,1,1,1,0,13
morganjerkins,morganjerkins,,0,0,0,0,0,0,0,0
bretonnenana,bretonnenana,,0,0,0,0,0,0,0,0
amotherless_mom,amotherless_mom,,0,0,0,0,0,0,0,0
dee45490051,dee45490051,,0,0,0,0,0,0,0,0
missonostufata,missonostufata,,0,0,0,0,0,0,0,0
klancasteruk,klancasteruk,,0,0,0,0,0,0,0,0
stopnowplease4,stopnowplease4,,0,0,0,0,0,0,0,0
kazbahellis,kazbahellis,,0,0,0,0,0,0,0,0
buk_amy,buk_amy,,0,0,0,0,0,0,0,0
simchamodupe,simchamodupe,,0,0,0,0,0,0,0,0
hbbtruth,hbbtruth,,0,0,0,0,0,0,0,0
unherd,unherd,,0,0,0,0,0,0,0,0
retweetallowed,retweetallowed,,0,0,0,0,0,0,0,0
blackqueenlara,blackqueenlara,,0,0,0,0,0,0,0,23
jacobbranning,jacobbranning,,0,0,0,0,0,0,0,0
diamondnft,diamondnft,,0,0,0,0,0,0,0,0
futurpunks,futurpunks,,0,0,0,0,0,0,0,0
digartcollector,digartcollector,,0,0,0,0,0,0,0,0
marytraine,marytraine,,0,0,0,0,0,0,0,0
julian_x_420,julian_x_420,,0,0,0,0,0,0,0,24
aijaijardine,aijaijardine,,0,0,0,0,0,0,0,0
telegraph,telegraph,,0,0,0,0,0,0,0,0
humanbeingone,humanbeingone,,0,0,0,0,0,0,0,0
elleprovocateur,elleprovocateur,,0,0,0,0,0,0,0,0
avery050414,avery050414,,0,0,0,0,0,0,0,0
mamacatinoz,mamacatinoz,,0,0,0,0,0,0,0,0
hrhdsscatherine,hrhdsscatherine,,0,0,0,0,0,0,0,0
vee_victory,vee_victory,,0,0,0,0,0,0,0,0
celebitchy,celebitchy,,0,0,0,0,0,0,0,0
quickbeam71,quickbeam71,,0,0,0,0,0,0,0,0
principessaa90,principessaa90,,0,0,0,0,0,0,0,0
packhamgown,packhamgown,,0,0,0,0,0,0,0,0
ishaxisha,ishaxisha,,0,0,0,0,0,0,0,0
chrisshipitv,chrisshipitv,,1,0,1,0,0,0,0,18
fpomponio,fpomponio,,0,0,0,0,0,0,0,0
macmiz16,macmiz16,,0,0,0,0,0,0,0,0
sonaaja22,sonaaja22,,0,0,0,0,0,0,0,0
ramaniperera,ramaniperera,,0,6,6,1,1,1,0,8
artsandculture,artsandculture,,0,0,0,0,0,0,0,0
pagesix,pagesix,,5,0,5,0,0,0,0,18
hymliars,hymliars,,0,3,3,1,1,1,0,13
artbyskym,artbyskym,,0,0,0,0,0,0,0,0
