"","media","bigram","n","tf","idf","tf_idf"
"1","Evening Standard","scotland yard",8,0.0220385674931129,2.484906649788,0.054763782915438
"2","METRO","royal english",3,0.0192307692307692,2.484906649788,0.0477866663420769
"3","METRO","kruger cowne",4,0.0256410256410256,1.79175946922805,0.045942550493027
"4","BBC News","ms bates",3,0.0236220472440945,1.79175946922805,0.0423250268321588
"5","BBC News","complaints commission",2,0.015748031496063,2.484906649788,0.0391323881856378
"6","BBC News","press complaints",2,0.015748031496063,2.484906649788,0.0391323881856378
"7","METRO","private matters",3,0.0192307692307692,1.79175946922805,0.0344569128697703
"8","Evening Standard","personal protection",5,0.0137741046831956,2.484906649788,0.0342273643221488
"9","METRO","crude comments",2,0.0128205128205128,2.484906649788,0.0318577775613846
"10","METRO","english banana",2,0.0128205128205128,2.484906649788,0.0318577775613846
"11","METRO","hair prince",2,0.0128205128205128,2.484906649788,0.0318577775613846
"12","METRO","model humanitarian",2,0.0128205128205128,2.484906649788,0.0318577775613846
"13","METRO","red hair",2,0.0128205128205128,2.484906649788,0.0318577775613846
"14","METRO","yoga fanatic",2,0.0128205128205128,2.484906649788,0.0318577775613846
"15","Evening Standard","protection officer",6,0.0165289256198347,1.79175946922805,0.029615858995505
"16","BBC News","everyday sexism",2,0.015748031496063,1.79175946922805,0.0282166845547725
"17","BBC News","sexism project",2,0.015748031496063,1.79175946922805,0.0282166845547725
"18","BBC News","sexist slant",2,0.015748031496063,1.79175946922805,0.0282166845547725
"19","METRO","posting pictures",2,0.0128205128205128,1.79175946922805,0.0229712752465135
"20","The Telegraph","interracial couples",12,0.0087527352297593,2.484906649788,0.0217497299762626
"21","Daily Mirror","christmas tree",7,0.0120068610634648,1.79175946922805,0.0215134070061688
"22","BBC News","attracted positive",1,0.0078740157480315,2.484906649788,0.0195661940928189
"23","BBC News","bonas complained",1,0.0078740157480315,2.484906649788,0.0195661940928189
"24","BBC News","book girl",1,0.0078740157480315,2.484906649788,0.0195661940928189
"25","BBC News","camilla tominey",1,0.0078740157480315,2.484906649788,0.0195661940928189
"26","BBC News","carried stories",1,0.0078740157480315,2.484906649788,0.0195661940928189
"27","BBC News","catalogues women",1,0.0078740157480315,2.484906649788,0.0195661940928189
"28","BBC News","claimed press",1,0.0078740157480315,2.484906649788,0.0195661940928189
"29","BBC News","condemns press",1,0.0078740157480315,2.484906649788,0.0195661940928189
"30","BBC News","considerable financial",1,0.0078740157480315,2.484906649788,0.0195661940928189
"31","BBC News","correspondent nicholas",1,0.0078740157480315,2.484906649788,0.0195661940928189
"32","BBC News","democratic candidate",1,0.0078740157480315,2.484906649788,0.0195661940928189
"33","BBC News","endured similar",1,0.0078740157480315,2.484906649788,0.0195661940928189
"34","BBC News","faced criticism",1,0.0078740157480315,2.484906649788,0.0195661940928189
"35","BBC News","faced harassment",1,0.0078740157480315,2.484906649788,0.0195661940928189
"36","BBC News","feminist writer",1,0.0078740157480315,2.484906649788,0.0195661940928189
"37","BBC News","foreign publishers",1,0.0078740157480315,2.484906649788,0.0195661940928189
"38","BBC News","gender inequality",1,0.0078740157480315,2.484906649788,0.0195661940928189
"39","BBC News","girl writing",1,0.0078740157480315,2.484906649788,0.0195661940928189
"40","BBC News","hairstyle ms",1,0.0078740157480315,2.484906649788,0.0195661940928189
"41","BBC News","hateful stuff",1,0.0078740157480315,2.484906649788,0.0195661940928189
"42","BBC News","held accountable",1,0.0078740157480315,2.484906649788,0.0195661940928189
"43","BBC News","journalist started",1,0.0078740157480315,2.484906649788,0.0195661940928189
"44","BBC News","london nightclub",1,0.0078740157480315,2.484906649788,0.0195661940928189
"45","BBC News","military service",1,0.0078740157480315,2.484906649788,0.0195661940928189
"46","BBC News","minister ms",1,0.0078740157480315,2.484906649788,0.0195661940928189
"47","BBC News","minister theresa",1,0.0078740157480315,2.484906649788,0.0195661940928189
"48","BBC News","naked photographs",1,0.0078740157480315,2.484906649788,0.0195661940928189
"49","BBC News","paparazzi photographer",1,0.0078740157480315,2.484906649788,0.0195661940928189
"50","BBC News","positive coverage",1,0.0078740157480315,2.484906649788,0.0195661940928189
"51","BBC News","presidential campaign",1,0.0078740157480315,2.484906649788,0.0195661940928189
"52","BBC News","press abuse",1,0.0078740157480315,2.484906649788,0.0195661940928189
"53","BBC News","press treatment",1,0.0078740157480315,2.484906649788,0.0195661940928189
"54","BBC News","prince requests",1,0.0078740157480315,2.484906649788,0.0195661940928189
"55","BBC News","public laying",1,0.0078740157480315,2.484906649788,0.0195661940928189
"56","BBC News","published earlier",1,0.0078740157480315,2.484906649788,0.0195661940928189
"57","BBC News","pursuing stories",1,0.0078740157480315,2.484906649788,0.0195661940928189
"58","BBC News","recent book",1,0.0078740157480315,2.484906649788,0.0195661940928189
"59","BBC News","similar media",1,0.0078740157480315,2.484906649788,0.0195661940928189
"60","BBC News","statement appeared",1,0.0078740157480315,2.484906649788,0.0195661940928189
"61","BBC News","statement continued",1,0.0078740157480315,2.484906649788,0.0195661940928189
"62","BBC News","tatement unprecedented",1,0.0078740157480315,2.484906649788,0.0195661940928189
"63","BBC News","times despises",1,0.0078740157480315,2.484906649788,0.0195661940928189
"64","BBC News","uneasy relationship",1,0.0078740157480315,2.484906649788,0.0195661940928189
"65","BBC News","unsuccessful democratic",1,0.0078740157480315,2.484906649788,0.0195661940928189
"66","BBC News","vegas hotel",1,0.0078740157480315,2.484906649788,0.0195661940928189
"67","BBC News","who'll question",1,0.0078740157480315,2.484906649788,0.0195661940928189
"68","BBC News","william appeals",1,0.0078740157480315,2.484906649788,0.0195661940928189
